id,strategy,stations,total_ambulances,completion_time,outstanding_req,idle_ambulances
223,2,6,9,61.877839871366184,19.196862857142854,5.966788571428573
224,2,6,10,52.09760238567424,17.041282857142857,6.9464557142857135
225,2,6,11,47.805588312285124,13.22244857142857,7.93057
226,2,6,12,37.121012386308365,12.541374285714287,8.919171428571428
227,2,6,13,33.14135200601952,13.732828571428572,9.917387142857143
228,2,6,14,23.138791800044746,11.157490000000001,10.916644285714286
229,2,6,15,28.38258491562598,5.299222857142857,11.886974285714285
230,2,6,16,23.796083663233794,7.916495714285715,12.894527142857143
231,2,6,17,25.844921536688435,5.955922857142857,13.882807142857141
232,2,6,18,20.748139992251964,4.810691428571428,14.893194285714285
233,2,6,19,16.401433821265577,5.67367,15.88840857142857
234,2,6,20,17.49067865952746,3.0195771428571425,16.887004285714287
235,2,6,21,16.409904157739245,2.0666614285714284,17.88374
236,2,6,22,11.334428004143009,2.9399357142857143,18.890004285714284
237,2,6,23,11.178582741964904,1.7290071428571432,19.890327142857146
238,2,6,24,14.975036624236564,0.8602128571428571,20.89156571428571
239,2,6,25,10.99625932349425,0.5750928571428572,21.8882
240,3,1,6,1628.382176543501,553.3398657142858,0.005430000000000001
241,3,1,7,1328.178444285328,435.5107185714286,0.007290000000000001
242,3,1,8,915.5448403986984,327.9212928571428,0.011307142857142856
243,3,1,9,697.8471935855761,216.9403985714286,0.022330000000000003
244,3,1,10,419.2993623244025,128.9149242857143,0.16466999999999996
245,3,1,11,299.88038953452116,90.52214428571428,0.5455328571428572
246,3,1,12,174.5267154254165,49.49690857142858,1.1604857142857143
247,3,1,13,94.18095650618542,32.49172285714286,1.8963642857142862
248,3,1,14,30.773590282364104,5.52311,2.764584285714286
249,3,1,15,20.904089550578615,0.9993385714285712,3.41486
250,3,1,16,20.354837057358584,0.13137714285714286,4.61281
251,3,1,17,20.65112449368598,0.08086142857142857,5.444067142857142
252,3,1,18,19.876595821647854,0.029662857142857144,6.5124185714285705
253,3,1,19,20.612767835146396,0.011418571428571429,7.603267142857143
254,3,1,20,20.64800390377468,0.004301428571428571,8.682945714285715
255,3,1,21,20.880789656820756,0.0009285714285714286,9.854717142857142
256,3,1,22,20.592126426187175,0.0002385714285714286,10.423264285714287
257,3,1,23,20.56542172899888,1.4285714285714287e-05,11.57479
258,3,1,24,20.05917971214252,7.142857142857143e-06,12.536967142857144
259,3,1,25,20.85389686389448,0.0,13.688737142857144
260,3,2,6,1210.7872154354218,529.4301928571427,1.3118214285714287
261,3,2,7,1001.7021312564653,412.9924971428572,1.5814285714285716
262,3,2,8,998.9936690555697,356.6387257142858,2.2883042857142852
263,3,2,9,704.9310749143638,325.0195614285714,2.852584285714286
264,3,2,10,651.5780402768709,246.7469657142857,3.191012857142857
265,3,2,11,502.6775258146952,168.75046285714288,3.8583314285714283
266,3,2,12,491.7814627464751,172.24770142857145,4.492781428571429
267,3,2,13,276.898220838248,107.11884857142859,5.0641428571428575
268,3,2,14,236.39804030311126,78.06300142857143,6.2105500000000005
269,3,2,15,118.22109671714162,44.20275857142857,6.6619214285714285
270,3,2,16,111.21633197066454,32.13111285714286,7.601685714285715
271,3,2,17,41.81880181726754,7.066625714285715,8.423982857142857
272,3,2,18,28.775124475144626,4.238814285714285,9.542072857142855
273,3,2,19,21.93209956613387,1.644867142857143,10.17568142857143
274,3,2,20,16.700034146838306,0.36762,11.282037142857144
275,3,2,21,16.195246482637483,0.12014714285714284,12.253617142857143
276,3,2,22,16.717061281513544,0.08279571428571428,13.284061428571427
277,3,2,23,16.67651630758081,0.026647142857142855,14.615227142857146
278,3,2,24,16.582124015941563,0.017955714285714287,15.399970000000001
279,3,2,25,16.541306819554105,0.009052857142857144,16.16689142857143
280,3,3,6,982.9747996766076,436.43615,2.156394285714286
281,3,3,7,860.7660736834806,361.1275114285714,2.85122
282,3,3,8,761.3081762897651,301.37752571428575,3.2803757142857135
283,3,3,9,700.6322326913589,334.78062,4.11783
